Query,Db_Name,Id_List,Citation_Cnts
GABA AND GABRA1,pmc,6214766,7
GABA AND GABRA1,pmc,6543741,12
GABA AND GABRA1,pmc,7697095,0
GABA AND GABRA1,pmc,6463728,8
GABA AND GABRA1,pmc,6180030,43
GABA AND GABRA1,pmc,7698927,7
GABA AND GABRA1,pmc,5195897,63
GABA AND GABRA1,pmc,5538121,15
GABA AND GABRA1,pmc,4454465,7
GABA AND GABRA1,pmc,6972656,6
GABA AND GABRA1,pmc,8380214,5
GABA AND GABRA1,pmc,7218610,10
GABA AND GABRA1,pmc,5489258,9
GABA AND GABRA1,pmc,7869430,2
GABA AND GABRA1,pmc,7286117,5
GABA AND GABRA1,pmc,2941995,21
GABA AND GABRA1,pmc,8176149,2
GABA AND GABRA1,pmc,8858939,1
GABA AND GABRA1,pmc,8136847,1
GABA AND GABRA1,pmc,5797743,0
GABA AND GABRA1,pmc,7973766,2
GABA AND GABRA1,pmc,8003358,0
GABA AND GABRA1,pmc,6061692,28
GABA AND GABRA1,pmc,4109047,12
GABA AND GABRA1,pmc,2647796,7
GABA AND GABRA1,pmc,2787920,14
GABA AND GABRA1,pmc,2716461,19
GABA AND GABRA1,pmc,416489,8
GABA AND GABRA1,pmc,7731368,1
GABA AND GABRA1,pmc,2760098,10
GABA AND GABRA1,pmc,7896201,3
GABA AND GABRA1,pmc,3412149,252
GABA AND GABRA1,pmc,6899022,8
GABA AND GABRA1,pmc,4108714,24
GABA AND GABRA1,pmc,4858537,15
GABA AND GABRA1,pmc,5771312,34
GABA AND GABRA1,pmc,3860398,5
GABA AND GABRA1,pmc,3717553,29
GABA AND GABRA1,pmc,7027208,2
GABA AND GABRA1,pmc,5696856,11
GABA AND GABRA1,pmc,2806416,20
GABA AND GABRA1,pmc,7352578,9
GABA AND GABRA1,pmc,3535376,56
GABA AND GABRA1,pmc,8672471,1
GABA AND GABRA1,pmc,6862182,2
GABA AND GABRA1,pmc,3355166,15
GABA AND GABRA1,pmc,5017907,9
GABA AND GABRA1,pmc,5917777,4
