Query,Db_Name,Id_List,Citation_Cnts
GABA AND GABRA1[tiab],pubmed,33825593,0
GABA AND GABRA1[tiab],pubmed,30324621,20
GABA AND GABRA1[tiab],pubmed,32047208,3
GABA AND GABRA1[tiab],pubmed,28535436,3
GABA AND GABRA1[tiab],pubmed,24613745,14
GABA AND GABRA1[tiab],pubmed,24136292,48
GABA AND GABRA1[tiab],pubmed,24361861,65
GABA AND GABRA1[tiab],pubmed,31926275,4
GABA AND GABRA1[tiab],pubmed,28073605,5
GABA AND GABRA1[tiab],pubmed,28864462,10
GABA AND GABRA1[tiab],pubmed,12946574,12
GABA AND GABRA1[tiab],pubmed,31056671,12
GABA AND GABRA1[tiab],pubmed,25191505,3
GABA AND GABRA1[tiab],pubmed,28643105,14
GABA AND GABRA1[tiab],pubmed,16569738,5
GABA AND GABRA1[tiab],pubmed,20438718,40
GABA AND GABRA1[tiab],pubmed,33863350,2
GABA AND GABRA1[tiab],pubmed,16029191,23
GABA AND GABRA1[tiab],pubmed,26884404,1
GABA AND GABRA1[tiab],pubmed,27521439,41
GABA AND GABRA1[tiab],pubmed,24249596,7
GABA AND GABRA1[tiab],pubmed,22206818,20
GABA AND GABRA1[tiab],pubmed,31315046,7
GABA AND GABRA1[tiab],pubmed,25194483,48
GABA AND GABRA1[tiab],pubmed,27614006,14
GABA AND GABRA1[tiab],pubmed,34530807,0
GABA AND GABRA1[tiab],pubmed,22591328,13
GABA AND GABRA1[tiab],pubmed,23886513,54
GABA AND GABRA1[tiab],pubmed,16530959,20
GABA AND GABRA1[tiab],pubmed,22470130,36
GABA AND GABRA1[tiab],pubmed,18821008,203
GABA AND GABRA1[tiab],pubmed,32376074,2
GABA AND GABRA1[tiab],pubmed,26249742,2
GABA AND GABRA1[tiab],pubmed,32205311,6
GABA AND GABRA1[tiab],pubmed,33240041,2
GABA AND GABRA1[tiab],pubmed,22723691,20
GABA AND GABRA1[tiab],pubmed,17266109,59
GABA AND GABRA1[tiab],pubmed,16080114,140
GABA AND GABRA1[tiab],pubmed,17982252,85
GABA AND GABRA1[tiab],pubmed,34925021,0
GABA AND GABRA1[tiab],pubmed,34001135,2
GABA AND GABRA1[tiab],pubmed,25124326,27
GABA AND GABRA1[tiab],pubmed,23672824,2
GABA AND GABRA1[tiab],pubmed,32418750,3
GABA AND GABRA1[tiab],pubmed,30798339,1
GABA AND GABRA1[tiab],pubmed,18922788,85
GABA AND GABRA1[tiab],pubmed,14706423,12
GABA AND GABRA1[tiab],pubmed,28798030,11
GABA AND GABRA1[tiab],pubmed,28544625,10
GABA AND GABRA1[tiab],pubmed,18180303,24
GABA AND GABRA1[tiab],pubmed,27439062,0
